episode,step,result,reward,duration,kills,kills_zombie,kills_cone,kills_bucket,clicks,suns_collected,gravebusters,cherries,ices,mowers_used
137,66130,WIN,11.30,245.4,247,150,59,38,383,44,7,2,3,1
138,66596,LOSS,-32.10,202.7,175,120,40,15,237,50,12,2,2,3
139,67076,WIN,17.80,232.2,242,150,58,34,368,42,6,2,4,0
140,67580,WIN,28.10,240.8,248,159,63,26,386,44,9,2,3,0
141,68053,WIN,31.30,220.2,247,158,70,19,310,49,6,3,4,0
142,68561,WIN,23.60,231.0,266,178,58,30,350,42,6,2,3,0
143,69072,WIN,30.30,245.3,255,165,56,34,351,72,9,3,5,0
144,69605,WIN,10.05,252.7,254,165,57,32,391,57,10,2,4,2
145,70132,WIN,41.05,240.1,265,164,61,40,338,63,8,3,4,0
146,70609,WIN,26.85,220.1,246,152,69,25,327,62,10,3,3,0
147,71127,WIN,21.50,244.3,255,154,62,39,358,71,11,3,4,0
148,71622,WIN,32.35,238.4,261,158,57,46,360,60,7,3,4,0
149,72120,WIN,28.00,238.7,247,143,65,39,388,45,7,2,3,0
150,72526,LOSS,-27.70,195.1,169,98,46,25,274,48,5,2,5,2
151,72983,WIN,3.95,210.9,224,137,56,31,318,35,7,2,2,2
152,73494,WIN,-26.55,238.0,229,140,64,25,381,38,7,1,3,4
153,73980,WIN,34.80,220.2,244,147,60,37,331,56,8,3,4,0
154,74443,WIN,3.60,213.6,228,145,60,23,341,48,8,2,3,1
155,74865,LOSS,-29.50,176.3,116,83,13,20,192,40,12,0,2,2
156,75322,WIN,12.80,219.9,223,137,56,30,324,60,8,3,4,2
157,75823,WIN,-7.95,241.9,245,156,55,34,368,51,9,2,4,3
158,76334,WIN,26.80,238.1,251,165,57,29,304,69,11,3,4,1
159,76824,WIN,37.45,231.9,254,153,62,39,351,62,12,3,4,0
160,77215,LOSS,-21.40,183.5,165,105,33,27,228,54,9,2,3,2
161,77707,WIN,29.05,223.5,237,140,70,27,328,57,11,2,4,0
162,78201,WIN,23.00,239.1,248,150,64,34,355,43,7,3,3,0
163,78674,WIN,5.65,228.6,229,138,55,36,344,45,9,2,3,2
164,79155,WIN,34.65,227.8,241,145,63,33,356,43,10,1,2,0
165,79617,LOSS,-34.30,211.6,183,122,38,23,258,50,11,2,2,2
166,80045,LOSS,-19.15,186.5,167,113,35,19,259,39,10,1,2,2
167,80523,WIN,37.45,231.9,242,150,59,33,329,73,9,3,5,0
168,80900,LOSS,-42.60,171.4,145,105,23,17,215,39,11,1,2,2
169,81273,LOSS,-18.80,172.0,152,102,30,20,234,28,6,1,2,1
170,81817,WIN,36.65,246.7,267,172,65,30,352,79,10,3,4,1
171,82288,WIN,21.25,229.5,235,136,59,40,357,51,8,2,4,1
